ENSG00000175164.13	ABO	Gene Expression
ENSG00000159842.14	ABR	Gene Expression
ENSG00000174429.3	ABRA	Gene Expression
ENSG00000146386.7	ABRACL	Gene Expression
ENSG00000163322.13	ABRAXAS1	Gene Expression
ENSG00000165660.7	ABRAXAS2	Gene Expression
ENSG00000146109.4	ABT1	Gene Expression
ENSG00000114626.17	ABTB1	Gene Expression
ENSG00000166016.5	ABTB2	Gene Expression
ENSG00000223665.1	AC000058.1	Gene Expression
ENSG00000083622.8	AC000061.1	Gene Expression
ENSG00000185065.6	AC000068.1	Gene Expression
ENSG00000273212.1	AC000068.2	Gene Expression
ENSG00000236340.5	AC000099.1	Gene Expression
ENSG00000243107.1	AC000120.1	Gene Expression
ENSG00000226770.1	AC000124.1	Gene Expression
ENSG00000241921.1	AC000372.1	Gene Expression
ENSG00000278727.1	AC000403.1	Gene Expression
ENSG00000274898.1	AC001226.1	Gene Expression
ENSG00000283208.1	AC001226.2	Gene Expression
ENSG00000272330.1	AC002044.1	Gene Expression
ENSG00000273216.1	AC002059.1	Gene Expression
ENSG00000225498.1	AC002064.1	Gene Expression
ENSG00000234459.1	AC002064.2	Gene Expression
ENSG00000237813.3	AC002066.1	Gene Expression
ENSG00000248636.6	AC002070.1	Gene Expression
ENSG00000234695.1	AC002076.1	Gene Expression
ENSG00000265975.1	AC002091.1	Gene Expression
ENSG00000266389.1	AC002091.2	Gene Expression
ENSG00000265618.1	AC002094.2	Gene Expression
ENSG00000273171.1	AC002094.3	Gene Expression
ENSG00000277450.1	AC002094.4	Gene Expression
ENSG00000261018.1	AC002101.1	Gene Expression
ENSG00000267698.1	AC002116.2	Gene Expression
ENSG00000233420.1	AC002127.2	Gene Expression
ENSG00000268947.1	AC002128.1	Gene Expression
ENSG00000271366.1	AC002128.2	Gene Expression
ENSG00000259242.2	AC002306.1	Gene Expression
ENSG00000235560.3	AC002310.1	Gene Expression
ENSG00000239791.1	AC002310.2	Gene Expression
ENSG00000260869.1	AC002310.4	Gene Expression
ENSG00000261459.1	AC002310.5	Gene Expression
ENSG00000263388.1	AC002347.2	Gene Expression
ENSG00000225676.1	AC002378.1	Gene Expression
ENSG00000227863.2	AC002383.1	Gene Expression
ENSG00000267049.1	AC002398.1	Gene Expression
ENSG00000267328.1	AC002398.2	Gene Expression
ENSG00000236472.1	AC002401.1	Gene Expression
ENSG00000250282.1	AC002401.2	Gene Expression
ENSG00000283638.2	AC002407.1	Gene Expression
ENSG00000236197.3	AC002429.2	Gene Expression
ENSG00000231170.5	AC002451.1	Gene Expression
ENSG00000237819.5	AC002454.1	Gene Expression
ENSG00000223969.5	AC002456.1	Gene Expression
ENSG00000223646.1	AC002463.1	Gene Expression
ENSG00000238202.1	AC002465.1	Gene Expression
ENSG00000241764.3	AC002467.1	Gene Expression
ENSG00000272829.1	AC002470.1	Gene Expression
ENSG00000226872.1	AC002472.1	Gene Expression
ENSG00000225541.1	AC002480.1	Gene Expression
ENSG00000232759.1	AC002480.2	Gene Expression
ENSG00000232949.1	AC002480.3	Gene Expression
ENSG00000238033.1	AC002480.4	Gene Expression
ENSG00000259810.2	AC002519.1	Gene Expression
ENSG00000267194.1	AC002546.1	Gene Expression
ENSG00000267653.1	AC002546.2	Gene Expression
ENSG00000261312.1	AC002550.1	Gene Expression
ENSG00000276571.1	AC002550.2	Gene Expression
ENSG00000261736.1	AC002551.1	Gene Expression
ENSG00000227782.2	AC002553.1	Gene Expression
ENSG00000275413.1	AC002553.4	Gene Expression
ENSG00000261872.1	AC002558.2	Gene Expression
ENSG00000262265.1	AC002558.3	Gene Expression
ENSG00000255692.1	AC002563.1	Gene Expression
ENSG00000268193.5	AC002985.1	Gene Expression
ENSG00000269019.1	AC002985.2	Gene Expression
ENSG00000257767.2	AC002996.1	Gene Expression
ENSG00000256060.2	AC003002.1	Gene Expression
ENSG00000268133.1	AC003002.2	Gene Expression
ENSG00000268533.1	AC003002.3	Gene Expression
ENSG00000268107.5	AC003005.1	Gene Expression
ENSG00000268266.1	AC003005.2	Gene Expression
ENSG00000269026.2	AC003006.1	Gene Expression
ENSG00000212663.2	AC003035.1	Gene Expression
ENSG00000233535.1	AC003035.2	Gene Expression
ENSG00000267446.1	AC003070.2	Gene Expression
ENSG00000237773.5	AC003075.1	Gene Expression
ENSG00000236453.5	AC003092.1	Gene Expression
ENSG00000236938.1	AC003092.2	Gene Expression
ENSG00000228768.3	AC003101.1	Gene Expression
ENSG00000278546.1	AC003101.2	Gene Expression
ENSG00000260793.2	AC003102.1	Gene Expression
ENSG00000227042.1	AC003666.1	Gene Expression
ENSG00000279159.1	AC003681.1	Gene Expression
ENSG00000268392.1	AC003682.1	Gene Expression
ENSG00000262302.1	AC003688.1	Gene Expression
ENSG00000268564.1	AC003956.1	Gene Expression
ENSG00000263280.1	AC003965.1	Gene Expression
ENSG00000235139.2	AC003984.1	Gene Expression
ENSG00000233824.1	AC003985.1	Gene Expression
ENSG00000236536.1	AC003986.3	Gene Expression
ENSG00000234223.2	AC003988.1	Gene Expression
ENSG00000228113.7	AC003991.1	Gene Expression
ENSG00000254003.1	AC003991.2	Gene Expression
ENSG00000237903.1	AC004000.1	Gene Expression
ENSG00000224322.1	AC004009.1	Gene Expression
ENSG00000229603.1	AC004014.1	Gene Expression
ENSG00000262482.1	AC004034.1	Gene Expression
ENSG00000230612.3	AC004039.1	Gene Expression
ENSG00000251170.5	AC004052.1	Gene Expression
ENSG00000248242.1	AC004053.1	Gene Expression
ENSG00000248984.1	AC004054.1	Gene Expression
ENSG00000251259.1	AC004069.1	Gene Expression
ENSG00000268163.1	AC004076.1	Gene Expression
ENSG00000276449.1	AC004076.2	Gene Expression
ENSG00000272801.1	AC004080.5	Gene Expression
ENSG00000226851.1	AC004112.1	Gene Expression
ENSG00000271133.5	AC004130.1	Gene Expression
ENSG00000263272.1	AC004148.2	Gene Expression
ENSG00000267440.1	AC004149.1	Gene Expression
ENSG00000267666.2	AC004156.1	Gene Expression
ENSG00000260664.2	AC004158.1	Gene Expression
ENSG00000230333.6	AC004160.1	Gene Expression
ENSG00000230435.1	AC004160.2	Gene Expression
ENSG00000257494.1	AC004217.2	Gene Expression
ENSG00000267457.1	AC004223.2	Gene Expression
ENSG00000267618.5	AC004223.3	Gene Expression
ENSG00000263212.2	AC004224.2	Gene Expression
ENSG00000234477.1	AC004231.1	Gene Expression
ENSG00000265359.1	AC004231.3	Gene Expression
ENSG00000262899.1	AC004232.2	Gene Expression
ENSG00000274367.1	AC004233.4	Gene Expression
ENSG00000257433.5	AC004241.1	Gene Expression
ENSG00000277173.1	AC004241.4	Gene Expression
ENSG00000263990.1	AC004253.1	Gene Expression
ENSG00000275936.1	AC004263.2	Gene Expression
ENSG00000268812.3	AC004264.1	Gene Expression
ENSG00000260510.1	AC004381.1	Gene Expression
ENSG00000266101.1	AC004408.1	Gene Expression
ENSG00000235979.8	AC004448.4	Gene Expression
ENSG00000265126.1	AC004448.5	Gene Expression
ENSG00000281530.1	AC004461.2	Gene Expression
ENSG00000268069.2	AC004466.1	Gene Expression
ENSG00000274737.1	AC004466.2	Gene Expression
ENSG00000276691.1	AC004466.3	Gene Expression
ENSG00000237019.1	AC004470.1	Gene Expression
ENSG00000223461.1	AC004471.1	Gene Expression
ENSG00000263412.1	AC004477.1	Gene Expression
ENSG00000266341.1	AC004477.2	Gene Expression
ENSG00000278765.1	AC004477.3	Gene Expression
ENSG00000228944.1	AC004485.1	Gene Expression
ENSG00000267122.1	AC004490.1	Gene Expression
ENSG00000272072.1	AC004492.1	Gene Expression
ENSG00000262312.2	AC004494.1	Gene Expression
ENSG00000273237.1	AC004520.1	Gene Expression
ENSG00000237640.1	AC004522.2	Gene Expression
ENSG00000274177.1	AC004528.2	Gene Expression
ENSG00000214870.8	AC004540.1	Gene Expression
ENSG00000225792.1	AC004540.2	Gene Expression
ENSG00000269972.1	AC004542.1	Gene Expression
ENSG00000269987.1	AC004542.2	Gene Expression
ENSG00000257452.1	AC004551.1	Gene Expression
ENSG00000282840.1	AC004554.2	Gene Expression
ENSG00000262298.1	AC004584.1	Gene Expression
ENSG00000263120.1	AC004584.3	Gene Expression
ENSG00000266088.5	AC004585.1	Gene Expression
ENSG00000235669.1	AC004593.1	Gene Expression
ENSG00000240499.7	AC004594.1	Gene Expression
ENSG00000267394.1	AC004596.1	Gene Expression
ENSG00000260822.1	AC004656.1	Gene Expression
ENSG00000249028.2	AC004672.1	Gene Expression
ENSG00000265206.5	AC004687.1	Gene Expression
ENSG00000229263.1	AC004691.1	Gene Expression
ENSG00000250424.4	AC004691.2	Gene Expression
ENSG00000263494.1	AC004702.1	Gene Expression
ENSG00000249815.1	AC004704.1	Gene Expression
ENSG00000282936.1	AC004706.4	Gene Expression
ENSG00000269881.1	AC004754.1	Gene Expression
ENSG00000227495.1	AC004771.1	Gene Expression
ENSG00000234203.1	AC004771.2	Gene Expression
ENSG00000262227.1	AC004771.3	Gene Expression
ENSG00000262429.1	AC004771.4	Gene Expression
ENSG00000262678.1	AC004771.5	Gene Expression
ENSG00000282943.1	AC004784.1	Gene Expression
ENSG00000250132.6	AC004803.1	Gene Expression
ENSG00000266076.1	AC004805.1	Gene Expression
ENSG00000277283.1	AC004812.2	Gene Expression
ENSG00000259153.1	AC004816.1	Gene Expression
ENSG00000275630.1	AC004816.2	Gene Expression
ENSG00000258517.1	AC004817.1	Gene Expression
ENSG00000227751.1	AC004824.1	Gene Expression
ENSG00000274818.1	AC004825.2	Gene Expression
ENSG00000258871.1	AC004828.1	Gene Expression
ENSG00000228204.2	AC004830.1	Gene Expression
ENSG00000181123.8	AC004832.1	Gene Expression
ENSG00000272689.1	AC004832.4	Gene Expression
ENSG00000273350.1	AC004832.5	Gene Expression
ENSG00000284523.1	AC004834.1	Gene Expression
ENSG00000228554.1	AC004837.2	Gene Expression
ENSG00000272854.1	AC004839.1	Gene Expression
ENSG00000258376.2	AC004846.1	Gene Expression
ENSG00000258944.1	AC004846.2	Gene Expression
ENSG00000278254.4	AC004852.2	Gene Expression
